Trevor Davis,0,26,13,4,11,8,111,13.9,0,4,28,0.6,8.5,72.70%,10.1,4,73,1,2,60,18.3,5.6,0.3,12,15.3,184,1.33,7.00,5.25,0.00,17.33,10.47,158.67,15.16,0.73,0.07
Trey Edmunds,0,25,10,0,7,6,48,8,0,2,11,0.6,4.8,85.70%,6.9,22,92,0,2,45,4.2,9.2,2.2,28,5,140,21.27,67.53,3.18,0.67,7.47,5.73,45.33,7.91,0.13,0.07
Troy Fumagalli,0,24,10,5,7,5,29,5.8,1,1,9,0.5,2.9,71.40%,4.1,,,,0,,,,,5,5.8,29,0.13,2.00,15.00,0.00,6.47,4.60,51.53,11.20,0.33,0.00
Troymaine Pope,0,26,13,0,3,2,14,7,1,1,13,0.2,1.1,66.70%,4.7,10,20,0,0,8,2,1.5,0.8,12,2.8,34,20.87,81.53,3.91,0.73,7.40,5.80,51.47,8.87,0.40,0.00
Ty Johnson,2,22,15,1,29,24,109,4.5,0,4,13,1.6,7.3,82.80%,3.8,60,208,0,8,17,3.5,13.9,4,84,3.8,317,23.73,94.00,3.96,0.47,6.53,5.20,34.80,6.69,0.13,0.20
Ty Montgomery,1.8,26,15,2,17,13,90,6.9,0,3,21,0.9,6,76.50%,5.3,32,103,0,2,15,3.2,6.9,2.1,45,4.3,193,23.40,87.80,3.75,0.27,7.00,4.87,36.67,7.53,0.13,0.27
Tyler Boyd,33.8,25,15,14,141,85,987,11.6,5,47,47,5.7,65.8,60.30%,7,4,23,0,1,10,5.8,1.5,0.3,89,11.3,1010,0.53,1.80,3.38,0.00,20.80,12.33,179.00,14.51,1.80,0.00
Tyler Conklin,0,24,14,1,9,7,49,7,0,2,20,0.5,3.5,77.80%,5.4,,,,0,,,,,7,7,49,0.00,0.00,0.00,0.00,6.93,4.93,56.33,11.42,0.40,0.13
Tyler Eifert,17.7,29,15,4,61,41,402,9.8,3,22,27,2.7,26.8,67.20%,6.6,,,,0,,,,,41,9.8,402,0.00,0.00,0.00,0.00,7.13,5.00,57.13,11.43,0.33,0.00
Tyler Higbee,19.4,26,14,14,77,61,650,10.7,2,32,33,4.4,46.4,79.20%,8.4,,,,0,,,,,61,10.7,650,0.00,0.00,0.00,0.00,6.07,4.07,34.80,8.56,0.40,0.07
Tyler Kroft,0,27,10,2,10,5,66,13.2,1,5,20,0.5,6.6,50.00%,6.6,,,,0,,,,,5,13.2,66,0.07,0.27,4.00,0.07,5.80,3.80,42.20,11.11,0.27,0.07
Tyler Lockett,2.2,27,15,15,104,76,1006,13.2,7,49,44,5.1,67.1,73.10%,9.7,4,-5,0,0,3,-1.3,-0.3,0.3,80,12.5,1001,0.33,2.80,8.40,0.00,20.33,13.87,170.33,12.28,0.93,0.07
Tyrell Williams,12.2,27,13,11,64,42,651,15.5,6,33,46,3.2,50.1,65.60%,10.2,,,,0,,,,,42,15.5,651,0.53,2.00,3.75,0.00,15.47,11.07,129.33,11.69,0.67,0.00
Vance McDonald,3.9,29,13,13,53,36,254,7.1,3,11,22,2.8,19.5,67.90%,4.8,1,2,0,0,2,2,0.2,0.1,37,6.9,256,0.00,0.27,0.00,0.00,6.20,3.93,41.40,10.53,0.20,0.00
Ventell Bryant,0,23,11,0,1,1,15,15,1,1,15,0.1,1.4,100.00%,15,,,,0,,,,,1,15,15,0.73,7.67,10.45,0.13,20.40,11.93,176.00,14.75,1.33,0.00
Virgil Green,1.4,31,14,4,12,9,78,8.7,1,4,15,0.6,5.6,75.00%,6.5,,,,0,,,,,9,8.7,78,0.07,-0.33,-5.00,0.00,7.20,4.60,57.07,12.41,0.60,0.00
Vyncint Smith,6.2,23,12,3,27,14,189,13.5,0,9,37,1.2,15.8,51.90%,7,2,32,1,2,19,16,2.7,0.2,16,13.8,221,0.33,2.60,7.80,0.00,18.80,11.07,145.73,13.17,0.87,0.20
Wendell Smallwood,0,25,14,0,13,9,64,7.1,0,4,18,0.6,4.6,69.20%,4.9,19,76,0,4,17,4,5.4,1.4,28,5,140,24.33,96.80,3.98,0.67,7.07,5.53,45.00,8.13,0.00,0.07
Will Fuller,3.1,25,11,11,71,49,670,13.7,3,26,54,4.5,60.9,69.00%,9.4,,,,0,,,,,49,13.7,670,0.60,4.33,7.22,0.07,24.67,14.73,197.87,13.43,1.40,0.13
Willie Snead,0,27,15,10,41,28,317,11.3,5,20,50,1.9,21.1,68.30%,7.7,1,2,0,0,2,2,0.1,0.1,29,11,319,0.87,7.13,8.23,0.00,18.47,11.27,144.00,12.78,0.73,0.07
Zach Gentry,0,23,4,0,1,1,4,4,0,1,4,0.3,1,100.00%,4,,,,0,,,,,1,4,4,0.00,0.27,0.00,0.00,6.20,3.93,41.40,10.53,0.20,0.00
Zach Line,0,29,12,2,10,6,36,6,0,1,12,0.5,3,60.00%,3.6,7,20,0,5,5,2.9,1.7,0.6,13,4.3,56,21.60,87.07,4.03,0.80,8.20,6.33,46.87,7.40,0.20,0.13
Zach Pascal,1.6,25,15,12,69,40,597,14.9,5,28,37,2.7,39.8,58.00%,8.7,1,12,0,1,12,12,0.8,0.1,41,14.9,609,0.40,3.40,8.50,0.07,22.20,14.47,180.60,12.48,0.80,0.07
Zay Jones,4.4,24,14,8,43,25,195,7.8,0,9,23,1.8,13.9,58.10%,4.5,1,3,0,0,3,3,0.2,0.1,26,7.6,198,1.13,7.53,6.65,0.07,19.27,11.53,129.13,11.20,1.00,0.27
