Carries,Yards,Rush TDs,Tgts,Rec,Rec yards,Rec TDs,Fumbles,Past att,Past yds,Past rush TDs,Past tgts,Past rec,Past rec yards,Past rec TDs,Past fumbles,Opp att,Opp yds,Opp rush TDs,Opp tgts,Opp recs,Opp rec yards,Opp rec TDs,Opp fumbles,W12 Actual
0,0,0,3.111111,2,25.88889,0.111111,0.111111,0.043,0.1,0,6.403,4.516,49.844,0.375,0.034,0,0,0,6.75,4.25,49.42,0.33,0,2
0,0,0,0.75,0.5,4,0.25,0,0.018,0.082,0,6.411,4.396,44.703,0.297,0.018,0,0,0,6.82,4.73,56.27,0.27,0,1.8
0,0,0,2.7,1.5,18,0.1,0,0.572,3.701,0.035,20.617,12.717,158.914,0.948,0.165,0.25,1.42,0,18.67,11.5,140.42,0.58,0.17,1.7
0,0,0,1.333333,0.75,5.916667,0,0,0.071,0.035,0,7.544,5.182,54.823,0.438,0.035,0.18,0,0,6.91,4.91,54.18,0.45,0,1.7
0,0,0,3.818182,2.545455,28.81818,0.272727,0,0.07,0.242,0,7.174,4.918,51.561,0.343,0.026,0,0,0,5,3.36,22.36,0.18,0.09,1.7
0.181818,0.818182,0,4.090909,2.090909,38.81818,0.181818,0,0.507,3.625,0.036,19.184,12.028,156.052,0.898,0.086,1.18,8.45,0.09,18.73,10.55,119.36,0.82,0.36,1.7
0,0,0,2.909091,2.181818,25.18182,0.090909,0,0.054,0.383,0,7.138,4.992,55.473,0.444,0.027,0.18,0.82,0,6.64,4.27,50.09,0.27,0,1.7
0,0,0,3.818182,2.636364,21.81818,0.181818,0,0.036,0.073,0,6.502,4.487,47.511,0.425,0.018,0,0,0,7,5,46.82,0.55,0,1.7
0,0,0,4.111111,3,44.44444,0.111111,0,0.649,4.768,0.036,19.564,12.421,164.621,0.845,0.088,0.73,7.45,0.18,18.18,12.36,162.64,0.82,0,1.6
0.1,0,0,4.2,2.8,24.5,0.2,0,0.569,3.916,0.044,19.741,11.962,152.19,0.966,0.167,0.33,1.92,0,23.5,13.75,185.92,1,0.33,1.6
0.222222,1.777778,0,2.555556,1.111111,16.77778,0,0,0.696,4.884,0.027,21.525,13.525,171.953,0.935,0.151,0.42,1.08,0,18.33,13.08,181.67,1.17,0.08,1.6
0,0,0,5.333333,4,34.83333,0.25,0.083333,0.097,0.306,0,6.519,4.476,49.068,0.302,0.035,0,0,0,5.64,3.82,40,0.27,0,1.5
0,0,0,0.454545,0.090909,0.363636,0,0,0.027,0.118,0,7.102,4.853,55.506,0.487,0.018,0.08,0,0,6.33,4.67,48.5,0.25,0.08,1.4
0.090909,-0.63636,0,3.090909,1.545455,17.63636,0,0,0.641,3.428,0.027,20.589,12.918,171.521,1.082,0.143,1.25,10.5,0,21.67,12.58,173,1.08,0.08,1.4
0,0,0,2.272727,1.545455,14.54545,0.090909,0.090909,0.062,0.08,0,6.409,4.377,43.234,0.245,0.035,0.08,2.25,0,5.67,4,50.92,0.42,0,1.4
0,0,0,1.909091,1.545455,13.18182,0.363636,0,0.071,0.334,0,7.468,5.165,54.77,0.328,0.036,0,0,0,5.73,3.82,41.09,0.18,0,1.3
0,0,0,3.666667,1.666667,26.66667,0,0,0.597,3.625,0.027,18.485,11.723,156.442,0.85,0.08,0.5,3.92,0.08,21.42,12.83,144.92,0.42,0.42,1.3
1.4,5.8,0.2,1.1,0.9,11.1,0.1,0,22.294,89.709,0.65,6.92,5.279,42.624,0.134,0.143,20.75,84.75,0.75,7.83,6,48.25,0.08,0.08,1.1
0.1,0.2,0,4.3,2.9,22.1,0.3,0.1,0.054,0.401,0,6.347,4.327,47.418,0.325,0.036,0.18,0.64,0,5.64,4.18,54.18,0.36,0.09,1.1
0.181818,1.272727,0,0.727273,0.545455,2.818182,0,0.090909,0.597,3.625,0.027,18.485,11.723,156.442,0.85,0.08,0.5,3.92,0.08,21.42,12.83,144.92,0.42,0.42,1
3.9,12.9,0.1,6.5,4.9,41.4,0.1,0,22.294,89.709,0.65,6.92,5.279,42.624,0.134,0.143,20.75,84.75,0.75,7.83,6,48.25,0.08,0.08,0.9
0.181818,1.272727,0,2.636364,2,26.09091,0.090909,0,0.027,0.291,0,6.621,4.504,49.584,0.367,0.009,0.09,0.36,0,5.09,3.45,40,0.45,0,0.4
2.9,11,0.2,1.5,1.1,10.2,0.1,0.1,21.351,85.603,0.564,7.14,5.403,43.506,0.199,0.183,23.33,84.92,0.83,7.92,6.17,42.33,0.08,0.08,0.1
