Carries,Yards,Rush TDs,Tgts,Rec,Rec yards,Rec TDs,Fumbles,Past att,Past yds,Past rush TDs,Past tgts,Past rec,Past rec yards,Past rec TDs,Past fumbles,Opp att,Opp yds,Opp rush TDs,Opp tgts,Opp recs,Opp rec yards,Opp rec TDs,Opp fumbles,W12 Actual
0.083333,-0.08333,0,3.75,2.5,23.75,0.083333,0.083333,0.644,4.152,0.045,20.94,13.321,171.218,1.008,0.098,0.82,5.91,0.09,25.64,15.55,206.09,1.64,0.18,15.6
0.090909,0.181818,0,3,2.090909,25.18182,0.363636,0,0.645,3.72,0.009,18.871,11.445,154.327,0.928,0.09,0.27,-0.36,0,20.91,13.45,162.45,1,0.36,15.4
0,0,0,7.545455,4.181818,63.18182,0.363636,0,0.54,4.11,0.052,19.579,12.031,147.449,0.724,0.201,0.82,5.09,0,20,11.82,147.18,0.91,0.09,15.1
7.6,33.6,0.1,3.7,3.2,20.1,0.5,0,22.135,93.285,0.741,7.137,5.37,44.537,0.281,0.13,19.55,84.73,0.27,5.55,4.09,26.82,0,0.27,15
0.4,2,0,7,4.4,48.4,0.1,0.1,0.726,4.669,0.027,19.44,12.157,160.782,0.972,0.053,0.82,3.64,0,20.64,13.18,172.09,0.82,0.09,14.9
0,0,0,3.2,2.1,26.5,0.2,0.1,0.54,4.11,0.052,19.579,12.031,147.449,0.724,0.201,0.82,5.09,0,20,11.82,147.18,0.91,0.09,14.2
0.083333,-0.08333,0,5.25,3.166667,40.75,0,0.083333,0.612,4.08,0.036,19.008,11.997,161.037,1.008,0.131,0.27,1.55,0,19.55,13.45,196.64,1.36,0.18,13.7
0.5,3.7,0.1,5.5,4,52.3,0.2,0.1,0.628,3.629,0.027,20.553,13.173,169.353,1.019,0.144,0.45,1.73,0,16.36,9.73,163.64,0.64,0.09,13
12.77778,49.77778,0.666667,2.888889,2.111111,18.22222,0.111111,0,22.654,94.464,0.664,6.691,5.182,41.201,0.225,0.189,22.82,114.09,1.18,7.45,5.64,41.18,0.09,0.09,12.9
0,0,0,1.75,1.5,4.5,0.25,0,0.087,0.304,0,7.044,4.902,52.652,0.415,0.025,0,0,0,7.92,5.83,56.58,0.33,0,12.7
0.272727,1,0,5.727273,3.818182,57.63636,0.272727,0.181818,0.603,3.662,0.027,19.754,12.523,173.439,1.234,0.14,0.18,5.55,0.09,20.91,10.09,110.64,0.09,0.18,12.6
0.181818,0.454545,0,7.090909,5.363636,64.27273,0.272727,0,0.071,0.334,0,7.468,5.165,54.77,0.328,0.036,0,0,0,5.73,3.82,41.09,0.18,0,12.4
8.833333,38.66667,0.416667,2.75,2.25,13.75,0.083333,0,21.193,85.536,0.616,7.104,5.57,42.078,0.194,0.132,21.64,107,1.45,5.55,4.09,27,0.27,0.09,12.4
3.916667,12.5,0,6.166667,4.5,25.5,0.25,0,22.456,91.851,0.644,7.055,5.369,42.122,0.281,0.139,24.82,102.27,0.73,6.27,5,42.64,0,0.09,12.4
0.142857,2.285714,0,8.142857,5.142857,64.28571,0.571429,0.142857,0.572,3.701,0.035,20.617,12.717,158.914,0.948,0.165,0.25,1.42,0,18.67,11.5,140.42,0.58,0.17,12.3
0,0,0,6.8,4,63.8,0.5,0,0.569,3.916,0.044,19.741,11.962,152.19,0.966,0.167,0.33,1.92,0,23.5,13.75,185.92,1,0.33,12.2
0.181818,0.363636,0,9.454545,6.090909,80,0.454545,0.181818,0.775,5.164,0.027,20.485,12.617,164.326,0.948,0.159,0.55,3.27,0,23.55,14.09,178,0.55,0.36,11.9
0.181818,-0.27273,0,9.181818,5.818182,86.36364,0.363636,0.090909,0.644,4.152,0.045,20.94,13.321,171.218,1.008,0.098,0.82,5.91,0.09,25.64,15.55,206.09,1.64,0.18,11.8
0,0,0,4.545455,2.818182,29.27273,0.090909,0.090909,0.026,0.017,0,6.136,4.246,43.281,0.311,0.017,0.18,2.55,0,5.91,3.73,46.55,0.55,0,11.8
14.33333,49.5,0.416667,2.666667,1.916667,14.41667,0.083333,0.083333,22.456,91.851,0.644,7.055,5.369,42.122,0.281,0.139,24.82,102.27,0.73,6.27,5,42.64,0,0.09,11.6
0,0,0,2.8,1.9,25.3,0,0,0.578,3.665,0.035,20.098,12.473,163.219,1.123,0.186,0.67,4.08,0,17.67,10.75,136.92,0.67,0,11.4
6.125,27,0,0.375,0.25,2.375,0,0,21.4,92.764,0.573,6.146,4.783,37.764,0.198,0.18,25.27,119.64,0.82,5.91,4.91,45.36,0.27,0.27,11.3
