Larry Fitzgerald,36,14,14,95,67,711,10.6,3,36,54,4.8,50.8,0.71,7.5,0,0,0,0,0,0,0,0,67,10.6,711,1.21,12.07,9.94,0.00,22.07,13.14,163.29,12.42,0.79,0.14
Maxx Williams,25,14,9,15,12,143,11.9,1,9,21,0.9,10.2,0.8,9.5,0,0,0,0,0,0,0,0,12,11.9,143,0.00,0.00,0.00,0.00,8.93,6.14,67.21,10.94,0.43,0.07
Michael Crabtree,32,2,1,5,4,22,5.5,0,0,9,2,11,0.8,4.4,0,0,0,0,0,0,0,0,4,5.5,22,1.21,12.07,9.94,0.00,22.07,13.14,163.29,12.42,0.79,0.14
Trent Sherfield,23,14,1,13,4,80,20,0,4,38,0.3,5.7,0.31,6.2,0,0,0,0,0,0,0,0,4,20,80,1.21,12.07,9.94,0.00,22.07,13.14,163.29,12.42,0.79,0.14
Austin Hooper,25,11,8,79,61,660,10.8,6,35,35,5.5,60,0.77,8.4,0,0,0,0,0,0,0,0,61,10.8,660,0.07,0.29,4.00,0.00,5.71,4.00,49.00,12.25,0.50,0.00
Brian Hill,24,10,2,14,10,69,6.9,1,4,12,1,6.9,0.71,4.9,66,236,2,14,27,3.6,23.6,6.6,76,4,305,22.43,118.93,5.30,1.00,6.21,5.00,47.21,9.44,0.21,0.14
Calvin Ridley,25,13,10,93,63,866,13.7,7,47,36,4.8,66.6,0.68,9.3,2,34,0,2,19,17,2.6,0.2,65,13.8,900,0.71,5.14,7.20,0.00,18.36,11.14,156.71,14.06,0.71,0.07
Christian Blake,23,7,2,22,11,91,8.3,0,5,13,1.6,13,0.5,4.1,0,0,0,0,0,0,0,0,11,8.3,91,0.71,5.14,7.20,0.00,18.36,11.14,156.71,14.06,0.71,0.07
Devonta Freeman,27,12,12,56,48,321,6.7,3,11,28,4,26.8,0.86,5.7,153,545,1,25,28,3.6,45.4,12.8,201,4.3,866,22.43,118.93,5.30,1.00,6.21,5.00,47.21,9.44,0.21,0.14
Ito Smith,24,7,0,14,11,87,7.9,0,2,11,1.6,12.4,0.79,6.2,22,106,1,10,28,4.8,15.1,3.1,33,5.8,193,22.43,118.93,5.30,1.00,6.21,5.00,47.21,9.44,0.21,0.14
Jaeden Graham,24,14,0,10,9,149,16.6,1,7,53,0.6,10.6,0.9,14.9,0,0,0,0,0,0,0,0,9,16.6,149,0.07,0.29,4.00,0.00,5.71,4.00,49.00,12.25,0.50,0.00
Julio Jones,30,13,13,129,82,1150,14,6,63,54,6.3,88.5,0.64,8.9,2,-3,0,0,1,-1.5,-0.2,0.2,84,13.7,1147,0.71,5.14,7.20,0.00,18.36,11.14,156.71,14.06,0.71,0.07
