Dan Arnold,7.6,24,3,0,5,3,31,10.3,1,2,19,1,10.3,0.6,6.2,0,0,0,0,0,0,0,0,3,10.3,31,0.14,2.00,14.00,0.00,5.64,3.79,44.36,11.72,0.50,0.00
Deon Cain,0,23,11,6,18,7,114,16.3,0,6,35,0.6,10.4,0.39,6.3,0,0,0,0,0,0,0,0,7,16.3,114,0.43,3.36,7.83,0.07,20.86,12.36,135.86,10.99,0.43,0.43
Dontrelle Inman,4.5,30,5,1,16,10,157,15.7,0,8,28,2,31.4,0.63,9.8,0,0,0,0,0,0,0,0,10,15.7,157,1.29,11.29,8.78,0.00,21.71,12.79,175.86,13.75,1.14,0.07
Emmanuel Sanders,2.9,32,15,14,87,60,783,13.1,5,37,75,4,52.2,0.69,9,0,0,0,0,0,0,0,0,60,13.1,783,0.71,2.71,3.80,0.00,17.57,12.29,169.43,13.79,1.00,0.14
J.P. Holtz,0.9,26,13,5,7,6,78,13,0,3,30,0.5,6,0.86,11.1,0,0,0,0,0,0,0,0,6,13,78,0.00,0.00,0.00,0.00,7.07,5.07,59.57,11.75,0.43,0.14
Kenyan Drake,39.6,25,12,8,60,44,304,6.9,0,14,26,3.7,25.3,0.73,5.1,134,591,5,37,36,4.4,49.3,11.2,178,5,895,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Mack Hollins,0,26,14,3,23,10,125,12.5,0,7,20,0.7,8.9,0.44,5.4,0,0,0,0,0,0,0,0,10,12.5,125,0.21,1.21,5.67,0.00,19.14,12.71,183.86,14.46,1.43,0.14
Mike Davis,0,26,10,1,8,7,22,3.1,0,1,7,0.7,2.2,0.88,2.8,11,25,0,0,8,2.3,2.5,1.1,18,2.6,47,18.79,76.07,4.05,1.00,6.93,5.64,51.64,9.15,0.07,0.36
Mohamed Sanu,3.3,30,13,10,79,53,461,8.7,2,27,28,4.1,35.5,0.67,5.8,3,11,0,1,8,3.7,0.8,0.2,56,8.4,472,1.36,6.86,5.05,0.00,16.43,9.86,148.64,15.08,0.71,0.07
Nick Vannett,9,26,14,7,21,16,148,9.3,0,4,17,1.1,10.6,0.76,7,0,0,0,0,0,0,0,0,16,9.3,148,0.00,0.00,0.00,0.00,5.36,3.79,37.14,9.81,0.29,0.00
Pharoh Cooper,2.7,24,11,1,29,22,205,9.3,1,8,28,2,18.6,0.76,7.1,1,2,0,0,2,2,0.2,0.1,23,9,207,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Robert Davis,0,24,4,2,2,1,11,11,0,1,11,0.3,2.8,0.5,5.5,0,0,0,0,0,0,0,0,1,11,11,0.71,3.86,5.40,0.07,16.14,11.21,136.21,12.15,1.14,0.14
Zay Jones,1.5,24,13,7,40,22,181,8.2,0,9,23,1.7,13.9,0.55,4.5,1,3,0,0,3,3,0.2,0.1,23,8,184,0.71,5.14,7.20,0.00,18.36,11.14,156.71,14.06,0.71,0.07
Trevor Davis,0,26,12,4,11,8,111,13.9,0,4,28,0.7,9.3,0.73,10.1,4,73,1,2,60,18.3,6.1,0.3,12,15.3,184,0.21,1.21,5.67,0.00,19.14,12.71,183.86,14.46,1.43,0.14
Alfred Morris,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,4,4,1,1,4,4,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Andy Isabella,1.3,23,13,1,13,9,189,21,1,4,88,0.7,14.5,0.69,14.5,4,15,0,0,6,3.8,1.2,0.3,13,15.7,204,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Charles Clay,2.8,30,14,9,23,17,221,13,1,11,47,1.2,15.8,0.74,9.6,0,0,0,0,0,0,0,0,17,13,221,0.14,2.00,14.00,0.00,5.64,3.79,44.36,11.72,0.50,0.00
Chase Edmonds,0,23,11,2,21,12,105,8.8,1,5,31,1.1,9.5,0.57,5,59,304,4,12,37,5.2,27.6,5.4,71,5.8,409,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Christian Kirk,10.1,23,11,11,93,61,649,10.6,3,29,69,5.5,59,0.66,7,7,78,0,3,28,11.1,7.1,0.6,68,10.7,727,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Damiere Byrd,14.6,26,9,3,37,24,274,11.4,0,11,58,2.7,30.4,0.65,7.4,0,0,0,0,0,0,0,0,24,11.4,274,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
David Johnson,0.6,28,12,8,46,35,366,10.5,4,17,31,2.9,30.5,0.76,8,92,342,2,20,18,3.7,28.5,7.7,127,5.6,708,21.71,104.14,4.80,0.79,5.79,4.57,40.57,8.88,0.21,0.21
Larry Fitzgerald,7.2,36,14,14,95,67,711,10.6,3,36,54,4.8,50.8,0.71,7.5,0,0,0,0,0,0,0,0,67,10.6,711,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Maxx Williams,1.4,25,14,9,15,12,143,11.9,1,9,21,0.9,10.2,0.8,9.5,0,0,0,0,0,0,0,0,12,11.9,143,0.14,2.00,14.00,0.00,5.64,3.79,44.36,11.72,0.50,0.00
Michael Crabtree,0,32,2,1,5,4,22,5.5,0,0,9,2,11,0.8,4.4,0,0,0,0,0,0,0,0,4,5.5,22,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Trent Sherfield,0,23,14,1,13,4,80,20,0,4,38,0.3,5.7,0.31,6.2,0,0,0,0,0,0,0,0,4,20,80,0.93,7.64,8.23,0.00,19.29,11.79,151.64,12.87,0.79,0.07
Austin Hooper,5,25,11,8,79,61,660,10.8,6,35,35,5.5,60,0.77,8.4,0,0,0,0,0,0,0,0,61,10.8,660,0.00,0.00,0.00,0.00,5.64,3.71,29.86,8.04,0.43,0.07
Brian Hill,1.6,24,10,2,14,10,69,6.9,1,4,12,1,6.9,0.71,4.9,66,236,2,14,27,3.6,23.6,6.6,76,4,305,19.36,82.79,4.28,0.29,5.71,4.14,26.43,6.38,0.00,0.36
Christian Blake,0,23,7,2,22,11,91,8.3,0,5,13,1.6,13,0.5,4.1,0,0,0,0,0,0,0,0,11,8.3,91,1.07,7.64,7.13,0.07,18.93,11.07,122.71,11.08,0.93,0.29
Devonta Freeman,7.5,27,12,12,56,48,321,6.7,3,11,28,4,26.8,0.86,5.7,153,545,1,25,28,3.6,45.4,12.8,201,4.3,866,19.36,82.79,4.28,0.29,5.71,4.14,26.43,6.38,0.00,0.36
Jaeden Graham,0,24,14,0,10,9,149,16.6,1,7,53,0.6,10.6,0.9,14.9,0,0,0,0,0,0,0,0,9,16.6,149,0.00,0.00,0.00,0.00,5.64,3.71,29.86,8.04,0.43,0.07
Julio Jones,38.4,30,13,13,129,82,1150,14,6,63,54,6.3,88.5,0.64,8.9,2,-3,0,0,1,-1.5,-0.2,0.2,84,13.7,1147,1.07,7.64,7.13,0.07,18.93,11.07,122.71,11.08,0.93,0.29
Justin Hardy,0,28,14,1,22,16,155,9.7,0,7,23,1.1,11.1,0.73,7,0,0,0,0,0,0,0,0,16,9.7,155,1.07,7.64,7.13,0.07,18.93,11.07,122.71,11.08,0.93,0.29
