Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
Kerryon Johnson,DET,22,rb,6,6,14,9,126,14,1,7,36,1.5,21,0.64,9,92,308,2,16,14,3.3,51.3,15.3,101,4.3,434,3,1
Logan Thomas,DET,28,te,14,3,22,13,141,10.8,1,9,17,0.9,10.1,0.59,6.4,0,0,0,0,0,0,0,0,13,10.8,141,1,0
Marvin Hall,DET,26,WR,9,0,11,7,261,37.3,1,7,58,0.8,29,0.64,23.7,1,7,0,0,7,7,0.8,0.1,8,33.5,268,1,0
Marvin Jones,DET,29,WR,13,11,91,62,779,12.6,9,41,47,4.8,59.9,0.68,8.6,2,0,0,0,4,0,0,0.2,64,12.2,779,9,0
Nick Bawden,DET,23,RB,10,2,6,4,17,4.3,0,1,10,0.4,1.7,0.67,2.8,0,0,0,0,0,0,0,0,4,4.3,17,0,0
Paul Perkins,DET,25,RB,4,0,1,1,9,9,0,0,9,0.3,2.3,1,9,12,29,0,3,13,2.4,7.3,3,13,2.9,38,0,0
T.J. Hockenson,DET,22,TE,12,7,59,32,367,11.5,2,19,39,2.7,30.6,0.54,6.2,0,0,0,0,0,0,0,0,32,11.5,367,2,0
Ty Johnson,DET,22,rb,14,1,29,24,109,4.5,0,4,13,1.7,7.8,0.83,3.8,57,188,0,7,17,3.3,13.4,4.1,81,3.7,297,0,1
Wes Hills,DET,24,rb,1,1,2,2,1,0.5,0,0,2,2,1,1,0.5,10,21,2,3,15,2.1,21,10,12,1.8,22,2,0
Aaron Jones,GNB,25,RB,14,14,59,45,425,9.4,3,16,67,3.2,30.4,0.76,7.2,188,830,14,44,42,4.4,59.3,13.4,233,5.4,1255,17,2
Allen Lazard,GNB,24,wr,14,1,35,26,363,14,2,16,43,1.9,25.9,0.74,10.4,1,21,0,1,21,21,1.5,0.1,27,14.2,384,2,0
Danny Vitale,GNB,26,RB,14,4,11,7,97,13.9,0,3,27,0.5,6.9,0.64,8.8,1,3,0,0,3,3,0.2,0.1,8,12.5,100,0,0
Darrius Shepherd,GNB,24,WR,6,0,2,1,1,1,0,0,1,0.2,0.2,0.5,0.5,0,0,0,0,0,0,0,0,1,1,1,0,1
Davante Adams,GNB,27,WR,10,10,98,63,788,12.5,4,43,58,6.3,78.8,0.64,8,0,0,0,0,0,0,0,0,63,12.5,788,4,1
Dexter Williams,GNB,22,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0.7,0.7,1,3,0.7,2,0,0
Geronimo Allison,GNB,25,wr,14,6,49,31,270,8.7,2,15,31,2.2,19.3,0.63,5.5,1,7,0,0,7,7,0.5,0.1,32,8.7,277,2,1
Jake Kumerow,GNB,27,wr,12,4,18,11,212,19.3,1,8,49,0.9,17.7,0.61,11.8,0,0,0,0,0,0,0,0,11,19.3,212,1,0
Jamaal Williams,GNB,24,rb,13,2,43,37,234,6.3,5,14,17,2.8,18,0.86,5.4,101,427,1,21,45,4.2,32.8,7.8,138,4.8,661,6,0
Jimmy Graham,GNB,33,TE,14,8,52,33,382,11.6,3,19,48,2.4,27.3,0.64,7.3,0,0,0,0,0,0,0,0,33,11.6,382,3,0
Marcedes Lewis,GNB,35,TE,14,10,17,13,142,10.9,1,7,25,0.9,10.1,0.77,8.4,0,0,0,0,0,0,0,0,13,10.9,142,1,0
Marquez Valdes-Scantling,GNB,25,WR,14,9,48,23,427,18.6,2,12,74,1.6,30.5,0.48,8.9,2,9,0,0,9,4.5,0.6,0.1,25,17.4,436,2,0
Robert Tonyan,GNB,25,te,9,1,12,8,91,11.4,1,4,28,0.9,10.1,0.67,7.6,0,0,0,0,0,0,0,0,8,11.4,91,1,0
Buddy Howell,HOU,23,RB,14,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,4,2.5,0.4,0.1,2,2.5,5,0,0
Carlos Hyde,HOU,29,RB,14,12,15,9,32,3.6,0,1,14,0.6,2.3,0.6,2.1,224,1030,5,52,58,4.6,73.6,16,233,4.6,1062,5,4
Darren Fells,HOU,33,TE,14,13,45,31,314,10.1,7,20,24,2.2,22.4,0.69,7,0,0,0,0,0,0,0,0,31,10.1,314,7,0
DeAndre Carter,HOU,26,wr,14,2,5,3,53,17.7,0,2,46,0.2,3.8,0.6,10.6,0,0,0,0,0,0,0,0,3,17.7,53,0,2
DeAndre Hopkins,HOU,27,WR,14,14,141,99,1142,11.5,7,67,43,7.1,81.6,0.7,8.1,2,18,0,2,12,9,1.3,0.1,101,11.5,1160,7,0
Duke Johnson,HOU,26,rb,14,2,52,38,353,9.3,3,15,21,2.7,25.2,0.73,6.8,77,394,1,16,40,5.1,28.1,5.5,115,6.5,747,4,0
Jordan Akins,HOU,27,TE,14,8,46,31,364,11.7,2,18,53,2.2,26,0.67,7.9,0,0,0,0,0,0,0,0,31,11.7,364,2,0
Keke Coutee,HOU,22,wr,8,4,33,21,247,11.8,0,10,51,2.6,30.9,0.64,7.5,2,14,1,2,10,7,1.8,0.3,23,11.3,261,1,1
Kenny Stills,HOU,27,wr,12,4,46,35,504,14.4,4,25,45,2.9,42,0.76,11,0,0,0,0,0,0,0,0,35,14.4,504,4,0
Will Fuller,HOU,25,WR,10,10,69,47,659,14,3,26,54,4.7,65.9,0.68,9.6,0,0,0,0,0,0,0,0,47,14,659,3,1
Ashton Dulin,IND,22,WR,11,0,2,2,17,8.5,0,0,13,0.2,1.5,1,8.5,0,0,0,0,0,0,0,0,2,8.5,17,0,0
Chester Rogers,IND,25,wr,12,6,28,16,179,11.2,2,11,27,1.3,14.9,0.57,6.4,1,18,0,1,18,18,1.5,0.1,17,11.6,197,2,2
Devin Funchess,IND,25,wr,1,1,5,3,32,10.7,0,2,16,3,32,0.6,6.4,0,0,0,0,0,0,0,0,3,10.7,32,0,0
Eric Ebron,IND,26,te,11,2,52,31,375,12.1,3,20,48,2.8,34.1,0.6,7.2,0,0,0,0,0,0,0,0,31,12.1,375,3,0
Jack Doyle,IND,29,TE,14,14,64,40,425,10.6,4,28,23,2.9,30.4,0.63,6.6,0,0,0,0,0,0,0,0,40,10.6,425,4,1
Jonathan Williams,IND,25,rb,7,1,5,5,59,11.8,0,3,31,0.7,8.4,1,11.8,49,235,1,13,48,4.8,33.6,7,54,5.4,294,1,0
Jordan Wilkins,IND,25,rb,13,1,11,7,43,6.1,0,1,11,0.5,3.3,0.64,3.9,42,223,1,7,55,5.3,17.2,3.2,49,5.4,266,1,0
Marcus Johnson,IND,25,wr,6,4,25,14,244,17.4,2,10,50,2.3,40.7,0.56,9.8,0,0,0,0,0,0,0,0,14,17.4,244,2,0
Marlon Mack,IND,23,RB,12,10,14,12,76,6.3,0,1,14,1,6.3,0.86,5.4,216,919,5,57,63,4.3,76.6,18,228,4.4,995,5,0
Mo Alie-Cox,IND,26,te,14,2,9,6,57,9.5,0,3,16,0.4,4.1,0.67,6.3,0,0,0,0,0,0,0,0,6,9.5,57,0,0
Nyheim Hines,IND,23,rb,14,2,52,40,296,7.4,0,15,21,2.9,21.1,0.77,5.7,44,161,2,12,18,3.7,11.5,3.1,84,5.4,457,2,1
Parris Campbell,IND,22,wr,7,3,24,18,127,7.1,1,6,27,2.6,18.1,0.75,5.3,4,34,0,1,22,8.5,4.9,0.6,22,7.3,161,1,3
Ross Travis,IND,26,te,2,1,4,3,32,10.7,0,0,25,1.5,16,0.75,8,0,0,0,0,0,0,0,0,3,10.7,32,0,1
T.Y. Hilton,IND,30,WR,8,8,61,39,403,10.3,5,20,35,4.9,50.4,0.64,6.6,0,0,0,0,0,0,0,0,39,10.3,403,5,0
Zach Pascal,IND,25,WR,14,11,66,39,591,15.2,5,28,37,2.8,42.2,0.59,9,1,12,0,1,12,12,0.9,0.1,40,15.1,603,5,0
Ben Koyack,JAX,26,te,9,4,3,1,9,9,0,0,9,0.1,1,0.33,3,0,0,0,0,0,0,0,0,1,9,9,0,0
C.J. Board,JAX,26,WR,3,0,4,2,31,15.5,0,1,23,0.7,10.3,0.5,7.8,0,0,0,0,0,0,0,0,2,15.5,31,0,0
Chris Conley,JAX,27,WR,14,12,79,42,681,16.2,4,32,70,3,48.6,0.53,8.6,0,0,0,0,0,0,0,0,42,16.2,681,4,0
Dede Westbrook,JAX,26,WR,13,10,89,57,583,10.2,2,25,39,4.4,44.8,0.64,6.6,5,27,0,0,8,5.4,2.1,0.4,62,9.8,610,2,1
DJ Chark,JAX,23,WR,13,12,106,67,956,14.3,8,40,69,5.2,73.5,0.63,9,2,20,0,1,20,10,1.5,0.2,69,14.1,976,8,0
Geoff Swaim,JAX,26,te,6,2,17,13,65,5,0,1,9,2.2,10.8,0.77,3.8,0,0,0,0,0,0,0,0,13,5,65,0,0
James O'Shaughnessy,JAX,27,te,5,5,20,14,153,10.9,2,7,35,2.8,30.6,0.7,7.7,0,0,0,0,0,0,0,0,14,10.9,153,2,0
Josh Oliver,JAX,22,te,4,1,6,3,15,5,0,0,6,0.8,3.8,0.5,2.5,0,0,0,0,0,0,0,0,3,5,15,0,0
Keelan Cole,JAX,26,wr,14,1,29,20,271,13.6,2,16,55,1.4,19.4,0.69,9.3,0,0,0,0,0,0,0,0,20,13.6,271,2,0
Leonard Fournette,JAX,24,RB,14,14,94,73,488,6.7,0,22,27,5.2,34.9,0.78,5.2,250,1081,3,52,81,4.3,77.2,17.9,323,4.9,1569,3,1
Marqise Lee,JAX,28,wr,6,1,4,3,18,6,0,2,8,0.5,3,0.75,4.5,1,1,0,0,1,1,0.2,0.2,4,4.8,19,0,0
Michael Walker,JAX,23,WR,6,0,3,2,15,7.5,0,1,9,0.3,2.5,0.67,5,0,0,0,0,0,0,0,0,2,7.5,15,0,1
Ryquell Armstead,JAX,23,RB,14,0,15,9,92,10.2,1,5,31,0.6,6.6,0.6,6.1,24,73,0,2,16,3,5.2,1.7,33,5,165,1,0
Seth Devalve,JAX,26,te,10,5,11,8,91,11.4,0,5,18,0.8,9.1,0.73,8.3,0,0,0,0,0,0,0,0,8,11.4,91,0,0
Anthony Sherman,KAN,31,RB,14,0,3,2,22,11,0,2,15,0.1,1.6,0.67,7.3,4,9,0,3,5,2.3,0.6,0.3,6,5.2,31,0,0
Blake Bell,KAN,28,te,13,6,10,5,51,10.2,0,2,30,0.4,3.9,0.5,5.1,0,0,0,0,0,0,0,0,5,10.2,51,0,0
Byron Pringle,KAN,26,WR,14,0,16,12,170,14.2,1,7,28,0.9,12.1,0.75,10.6,0,0,0,0,0,0,0,0,12,14.2,170,1,0
Damien Williams,KAN,27,rb,9,5,27,23,156,6.8,1,8,32,2.6,17.3,0.85,5.8,83,309,3,13,91,3.7,34.3,9.2,106,4.4,465,4,1
Darrel Williams,KAN,24,RB,12,0,19,15,167,11.1,1,7,52,1.3,13.9,0.79,8.8,41,141,3,12,41,3.4,11.8,3.4,56,5.5,308,4,1
Darwin Thompson,KAN,23,RB,10,0,9,8,47,5.9,0,2,19,0.8,4.7,0.89,5.2,28,97,1,6,12,3.5,9.7,2.8,36,4,144,1,0
Demarcus Robinson,KAN,25,WR,14,10,51,30,412,13.7,3,17,44,2.1,29.4,0.59,8.1,0,0,0,0,0,0,0,0,30,13.7,412,3,0
Deon Yelder,KAN,24,te,9,1,4,3,50,16.7,0,2,24,0.3,5.6,0.75,12.5,0,0,0,0,0,0,0,0,3,16.7,50,0,0
LeSean McCoy,KAN,31,RB,13,9,34,28,181,6.5,1,6,23,2.2,13.9,0.82,5.3,101,465,4,24,39,4.6,35.8,7.8,129,5,646,5,3
Mecole Hardman,KAN,21,wr,14,4,40,25,508,20.3,6,17,83,1.8,36.3,0.63,12.7,4,17,0,1,9,4.3,1.2,0.3,29,18.1,525,6,2
Sammy Watkins,KAN,26,WR,12,11,83,49,637,13,3,28,68,4.1,53.1,0.59,7.7,2,12,0,1,11,6,1,0.2,51,12.7,649,3,2
Spencer Ware,KAN,28,RB,2,0,4,3,0,0,0,0,6,1.5,0,0.75,0,12,37,0,3,6,3.1,18.5,6,15,2.5,37,0,1
Travis Kelce,KAN,30,TE,14,14,122,86,1131,13.2,4,59,47,6.1,80.8,0.71,9.3,1,4,1,1,4,4,0.3,0.1,87,13,1135,5,1
Tyreek Hill,KAN,25,WR,10,10,79,49,727,14.8,7,34,57,4.9,72.7,0.62,9.2,8,23,0,1,5,2.9,2.3,0.8,57,13.2,750,7,0
Andre Patton,LAC,25,wr,11,4,12,4,38,9.5,0,3,15,0.4,3.5,0.33,3.2,0,0,0,0,0,0,0,0,4,9.5,38,0,0
Austin Ekeler,LAC,24,RB,14,7,91,78,892,11.4,8,38,84,5.6,63.7,0.86,9.8,119,500,3,28,35,4.2,35.7,8.5,197,7.1,1392,11,3
Derek Watt,LAC,27,RB,14,2,5,3,32,10.7,0,1,21,0.2,2.3,0.6,6.4,7,10,1,6,3,1.4,0.7,0.5,10,4.2,42,1,0
Geremy Davis,LAC,27,wr,7,1,3,3,38,12.7,0,1,19,0.4,5.4,1,12.7,0,0,0,0,0,0,0,0,3,12.7,38,0,0
Hunter Henry,LAC,25,TE,10,10,63,45,565,12.6,4,31,30,4.5,56.5,0.71,9,0,0,0,0,0,0,0,0,45,12.6,565,4,1
Jason Moore,LAC,24,WR,8,0,4,2,43,21.5,0,2,32,0.3,5.4,0.5,10.8,0,0,0,0,0,0,0,0,2,21.5,43,0,0
Justin Jackson,LAC,24,RB,6,0,11,9,22,2.4,0,0,9,1.5,3.7,0.82,2,28,189,0,8,40,6.8,31.5,4.7,37,5.7,211,0,0
Keenan Allen,LAC,27,WR,14,14,129,90,1046,11.6,5,53,45,6.4,74.7,0.7,8.1,2,21,0,1,18,10.5,1.5,0.1,92,11.6,1067,5,0
Lance Kendricks,LAC,31,te,10,1,7,3,50,16.7,0,3,24,0.3,5,0.43,7.1,0,0,0,0,0,0,0,0,3,16.7,50,0,0
Melvin Gordon,LAC,26,RB,10,9,41,30,188,6.3,1,9,25,3,18.8,0.73,4.6,139,551,5,32,24,4,55.1,13.9,169,4.4,739,6,4
Mike Williams,LAC,25,WR,13,13,81,44,912,20.7,2,36,56,3.4,70.2,0.54,11.3,1,2,0,0,2,2,0.2,0.1,45,20.3,914,2,0
Sean Culkin,LAC,26,te,4,2,2,1,12,12,0,1,12,0.3,3,0.5,6,0,0,0,0,0,0,0,0,1,12,12,0,0
Travis Benjamin,LAC,30,wr,5,2,16,6,30,5,0,3,13,1.2,6,0.38,1.9,0,0,0,0,0,0,0,0,6,5,30,0,0
Troymaine Pope,LAC,26,RB,12,0,3,2,14,7,1,1,13,0.2,1.2,0.67,4.7,10,20,0,0,8,2,1.7,0.8,12,2.8,34,1,1
Virgil Green,LAC,31,te,13,4,11,8,74,9.3,1,4,15,0.6,5.7,0.73,6.7,0,0,0,0,0,0,0,0,8,9.3,74,1,0
Brandin Cooks,LAR,26,WR,12,12,61,35,504,14.4,1,26,57,2.9,42,0.57,8.3,6,52,0,3,27,8.7,4.3,0.5,41,13.6,556,1,0
Cooper Kupp,LAR,26,WR,14,12,120,83,1031,12.4,8,44,66,5.9,73.6,0.69,8.6,2,4,0,0,6,2,0.3,0.1,85,12.2,1035,8,2
Darrell Henderson,LAR,22,RB,12,0,6,4,37,9.3,0,1,14,0.3,3.1,0.67,6.2,37,140,0,10,22,3.8,11.7,3.1,41,4.3,177,0,0
Gerald Everett,LAR,25,te,11,2,59,37,408,11,2,22,33,3.4,37.1,0.63,6.9,1,0,0,0,0,0,0,0.1,38,10.7,408,2,0
John Kelly,LAR,23,RB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,6,3,3,1,3,3,9,0,0
Johnny Mundt,LAR,25,te,11,2,6,3,24,8,0,1,9,0.3,2.2,0.5,4,0,0,0,0,0,0,0,0,3,8,24,0,0
Josh Reynolds,LAR,24,wr,14,2,39,19,294,15.5,1,14,31,1.4,21,0.49,7.5,5,23,0,2,12,4.6,1.6,0.4,24,13.2,317,1,0
Malcolm Brown,LAR,26,rb,12,1,4,1,10,10,0,0,10,0.1,0.8,0.25,2.5,59,230,4,14,17,3.9,19.2,4.9,60,4,240,4,0
Mike Thomas,LAR,25,WR,14,0,5,2,14,7,0,1,9,0.1,1,0.4,2.8,0,0,0,0,0,0,0,0,2,7,14,0,0
Robert Woods,LAR,27,WR,13,13,116,75,950,12.7,1,45,48,5.8,73.1,0.65,8.2,14,100,1,5,20,7.1,7.7,1.1,89,11.8,1050,2,0
Todd Gurley,LAR,25,RB,13,13,46,29,186,6.4,2,7,23,2.2,14.3,0.63,4,188,741,10,45,25,3.9,57,14.5,217,4.3,927,12,3
Tyler Higbee,LAR,26,TE,13,13,66,52,546,10.5,2,26,33,4,42,0.79,8.3,0,0,0,0,0,0,0,0,52,10.5,546,2,0
Albert Wilson,MIA,27,wr,11,3,47,31,213,6.9,1,14,22,2.8,19.4,0.66,4.5,4,36,0,1,28,9,3.3,0.4,35,7.1,249,1,0
Allen Hurns,MIA,28,wr,13,6,45,30,375,12.5,2,16,27,2.3,28.8,0.67,8.3,0,0,0,0,0,0,0,0,30,12.5,375,2,1
Clive Walford,MIA,28,te,6,3,6,3,42,14,0,3,19,0.5,7,0.5,7,0,4,0,0,4,0,0.7,0,3,15.3,46,0,0
DeVante Parker,MIA,26,WR,14,12,102,59,954,16.2,8,47,50,4.2,68.1,0.58,9.4,0,0,0,0,0,0,0,0,59,16.2,954,8,0
Durham Smythe,MIA,24,TE,14,12,9,4,39,9.8,0,1,24,0.3,2.8,0.44,4.3,0,0,0,0,0,0,0,0,4,9.8,39,0,0
Isaiah Ford,MIA,23,WR,6,0,20,11,122,11.1,0,9,25,1.8,20.3,0.55,6.1,0,0,0,0,0,0,0,0,11,11.1,122,0,0
Jakeem Grant,MIA,27,wr,10,2,33,19,164,8.6,0,9,18,1.9,16.4,0.58,5,4,5,1,1,7,1.3,0.5,0.4,23,7.3,169,1,2
Kalen Ballage,MIA,24,rb,12,6,24,14,63,4.5,0,4,13,1.2,5.3,0.58,2.6,74,135,3,10,8,1.8,11.3,6.2,88,2.3,198,3,0
Mark Walton,MIA,22,rb,7,4,21,15,89,5.9,0,3,18,2.1,12.7,0.71,4.2,53,201,0,11,19,3.8,28.7,7.6,68,4.3,290,0,1
Mike Gesicki,MIA,24,te,14,4,70,41,454,11.1,2,19,34,2.9,32.4,0.59,6.5,0,0,0,0,0,0,0,0,41,11.1,454,2,1
Myles Gaskin,MIA,22,RB,6,0,9,6,48,8,0,2,20,1,8,0.67,5.3,20,78,0,3,27,3.9,13,3.3,26,4.8,126,0,0
Patrick Laird,MIA,24,rb,13,2,24,18,155,8.6,0,10,21,1.4,11.9,0.75,6.5,43,130,1,7,18,3,10,3.3,61,4.7,285,1,0
Preston Williams,MIA,22,WR,8,7,60,32,428,13.4,3,24,35,4,53.5,0.53,7.1,0,0,0,0,0,0,0,0,32,13.4,428,3,2
Adam Thielen,MIN,29,WR,9,9,44,30,418,13.9,6,18,44,3.3,46.4,0.68,9.5,3,4,1,1,3,1.3,0.4,0.3,33,12.8,422,7,0
Alexander Mattison,MIN,21,RB,13,0,12,10,82,8.2,0,3,17,0.8,6.3,0.83,6.8,100,462,1,19,35,4.6,35.5,7.7,110,4.9,544,1,1
Ameer Abdullah,MIN,26,RB,14,0,10,6,43,7.2,1,3,16,0.4,3.1,0.6,4.3,13,66,0,2,15,5.1,4.7,0.9,19,5.7,109,1,1
C.J. Ham,MIN,26,RB,14,6,21,15,137,9.1,1,6,36,1.1,9.8,0.71,6.5,5,13,0,1,9,2.6,0.9,0.4,20,7.5,150,1,1
Chad Beebe,MIN,25,WR,3,0,2,2,70,35,0,2,61,0.7,23.3,1,35,0,0,0,0,0,0,0,0,2,35,70,0,3
Dalvin Cook,MIN,24,RB,14,14,63,53,519,9.8,0,26,31,3.8,37.1,0.84,8.2,250,1135,13,60,75,4.5,81.1,17.9,303,5.5,1654,13,4
Irv Smith Jr.,MIN,21,TE,14,7,42,33,296,9,2,16,29,2.4,21.1,0.79,7,0,0,0,0,0,0,0,0,33,9,296,2,1
Kyle Rudolph,MIN,30,TE,14,14,46,38,360,9.5,6,23,32,2.7,25.7,0.83,7.8,0,0,0,0,0,0,0,0,38,9.5,360,6,0
Laquon Treadwell,MIN,24,WR,11,0,13,9,184,20.4,1,8,58,0.8,16.7,0.69,14.2,0,0,0,0,0,0,0,0,9,20.4,184,1,0
Mike Boone,MIN,24,RB,14,0,0,0,0,0,0,0,0,0,0,0,0,21,97,2,4,24,4.6,6.9,1.5,21,4.6,97,2,0
Olabisi Johnson,MIN,22,wr,14,5,39,27,254,9.4,3,14,23,1.9,18.1,0.69,6.5,1,6,0,0,6,6,0.4,0.1,28,9.3,260,3,0
Stefon Diggs,MIN,26,WR,14,14,89,60,1073,17.9,5,38,66,4.3,76.6,0.67,12.1,5,61,0,3,27,12.2,4.4,0.4,65,17.4,1134,5,4
Tyler Conklin,MIN,24,te,13,1,9,7,49,7,0,2,20,0.5,3.8,0.78,5.4,0,0,0,0,0,0,0,0,7,7,49,0,0
Alvin Kamara,NOR,24,RB,12,8,87,73,485,6.6,1,25,41,6.1,40.4,0.84,5.6,152,678,1,26,30,4.5,56.5,12.7,225,5.2,1163,2,4
Austin Carr,NOR,26,wr,6,3,4,1,9,9,0,1,9,0.2,1.5,0.25,2.3,0,0,0,0,0,0,0,0,1,9,9,0,0
Deonte Harris,NOR,22,WR,12,0,5,5,24,4.8,0,2,13,0.4,2,1,4.8,2,18,0,2,10,9,1.5,0.2,7,6,42,0,2
Dwayne Washington,NOR,25,RB,14,0,1,1,6,6,0,0,6,0.1,0.4,1,6,6,58,0,2,31,9.7,4.1,0.4,7,9.1,64,0,0
Jared Cook,NOR,32,TE,12,7,59,38,577,15.2,6,28,40,3.2,48.1,0.64,9.8,0,0,0,0,0,0,0,0,38,15.2,577,6,0
Josh Hill,NOR,29,TE,14,9,30,22,191,8.7,3,11,29,1.6,13.6,0.73,6.4,0,0,0,0,0,0,0,0,22,8.7,191,3,0
Latavius Murray,NOR,29,RB,14,7,39,31,210,6.8,1,8,30,2.2,15,0.8,5.4,122,562,5,34,30,4.6,40.1,8.7,153,5,772,6,0
Michael Thomas,NOR,26,WR,14,13,159,133,1552,11.7,8,78,49,9.5,110.9,0.84,9.8,1,-9,0,0,-9,-9,-0.6,0.1,134,11.5,1543,8,1
Ted Ginn,NOR,34,WR,14,9,53,29,411,14.2,2,19,45,2.1,29.4,0.55,7.8,3,18,0,2,12,6,1.3,0.2,32,13.4,429,2,0
Tre'Quan Smith,NOR,23,wr,9,5,18,12,165,13.8,4,11,28,1.3,18.3,0.67,9.2,0,0,0,0,0,0,0,0,12,13.8,165,4,0
Zach Line,NOR,29,RB,11,2,10,6,36,6,0,1,12,0.5,3.3,0.6,3.6,7,20,0,5,5,2.9,1.8,0.6,13,4.3,56,0,0
Ben Watson,NWE,39,TE,8,7,20,13,154,11.8,0,8,26,1.6,19.3,0.65,7.7,0,0,0,0,0,0,0,0,13,11.8,154,0,0
Brandon Bolden,NWE,29,rb,13,2,11,9,111,12.3,1,6,29,0.7,8.5,0.82,10.1,15,68,3,5,21,4.5,5.2,1.2,24,7.5,179,4,0
Damien Harris,NWE,22,RB,2,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,13,3,6,2,4,3,12,0,0
Gunner Olszewski,NWE,23,TE,8,0,4,2,34,17,0,1,29,0.3,4.3,0.5,8.5,0,0,0,0,0,0,0,0,2,17,34,0,1
Jakob Johnson,NWE,25,RB,4,3,2,1,5,5,0,0,5,0.3,1.3,0.5,2.5,0,0,0,0,0,0,0,0,1,5,5,0,0
Jakobi Meyers,NWE,23,wr,13,1,38,23,334,14.5,0,16,35,1.8,25.7,0.61,8.8,0,0,0,0,0,0,0,0,23,14.5,334,0,0
James Develin,NWE,31,RB,2,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,1.5,1.5,1,2,1.5,3,0,0
James White,NWE,27,rb,13,1,87,65,588,9,4,29,59,5,45.2,0.75,6.8,62,254,1,14,32,4.1,19.5,4.8,127,6.6,842,5,0
Julian Edelman,NWE,33,WR,14,12,140,92,1019,11.1,6,50,44,6.6,72.8,0.66,7.3,8,27,0,2,9,3.4,1.9,0.6,100,10.5,1046,6,2
Matt LaCosse,NWE,27,te,9,6,18,12,123,10.3,0,5,24,1.3,13.7,0.67,6.8,0,0,0,0,0,0,0,0,12,10.3,123,0,0
N'Keal Harry,NWE,22,wr,5,3,14,7,55,7.9,2,5,12,1.4,11,0.5,3.9,2,22,0,2,12,11,4.4,0.4,9,8.6,77,2,0
Phillip Dorsett,NWE,26,wr,12,4,50,28,347,12.4,5,16,58,2.3,28.9,0.56,6.9,3,21,0,1,9,7,1.8,0.3,31,11.9,368,5,0
Rex Burkhead,NWE,29,rb,11,1,33,22,196,8.9,0,7,32,2,17.8,0.67,5.9,54,234,2,13,33,4.3,21.3,4.9,76,5.7,430,2,0
Ryan Izzo,NWE,24,te,6,4,9,6,114,19,1,4,41,1,19,0.67,12.7,0,0,0,0,0,0,0,0,6,19,114,1,0
Sony Michel,NWE,24,RB,14,12,18,11,89,8.1,0,7,19,0.8,6.4,0.61,4.9,208,742,6,46,26,3.6,53,14.9,219,3.8,831,6,2
Bennie Fowler,NYG,28,wr,8,2,36,23,193,8.4,0,12,17,2.9,24.1,0.64,5.4,1,20,0,1,20,20,2.5,0.1,24,8.9,213,0,0
Cody Core,NYG,25,WR,14,0,5,3,28,9.3,0,2,11,0.2,2,0.6,5.6,0,0,0,0,0,0,0,0,3,9.3,28,0,0
Cody Latimer,NYG,27,WR,13,9,32,17,244,14.4,1,15,43,1.3,18.8,0.53,7.6,0,0,0,0,0,0,0,0,17,14.4,244,1,0
Darius Slayton,NYG,22,WR,12,8,73,44,690,15.7,8,31,55,3.7,57.5,0.6,9.5,0,0,0,0,0,0,0,0,44,15.7,690,8,0
Elijhaa Penny,NYG,26,rb,14,1,4,2,9,4.5,0,0,9,0.1,0.6,0.5,2.3,15,39,0,2,6,2.6,2.8,1.1,17,2.8,48,0,0
Evan Engram,NYG,25,te,8,6,68,44,467,10.6,3,23,75,5.5,58.4,0.65,6.9,3,7,0,0,5,2.3,0.9,0.4,47,10.1,474,3,0
Golden Tate,NYG,31,WR,9,9,66,38,512,13.5,5,22,64,4.2,56.9,0.58,7.8,1,16,0,1,16,16,1.8,0.1,39,13.5,528,5,1
Javorius Allen,NYG,28,RB,8,0,0,0,0,0,0,0,0,0,0,0,0,9,32,1,2,19,3.6,4,1.1,9,3.6,32,1,0
Jon Hilliman,NYG,24,rb,3,1,4,3,1,0.3,0,0,5,1,0.3,0.75,0.3,30,91,0,6,10,3,30.3,10,33,2.8,92,0,2
Kaden Smith,NYG,22,te,7,4,23,17,135,7.9,1,5,32,2.4,19.3,0.74,5.9,0,0,0,0,0,0,0,0,17,7.9,135,1,1
Rhett Ellison,NYG,31,TE,10,7,28,18,167,9.3,1,4,31,1.8,16.7,0.64,6,0,0,0,0,0,0,0,0,18,9.3,167,1,0
Russell Shepard,NYG,29,WR,3,0,8,3,25,8.3,0,1,12,1,8.3,0.38,3.1,0,0,0,0,0,0,0,0,3,8.3,25,0,0
Saquon Barkley,NYG,22,RB,11,11,65,45,323,7.2,1,11,65,4.1,29.4,0.69,5,178,722,4,36,59,4.1,65.6,16.2,223,4.7,1045,5,1
Scott Simonson,NYG,27,te,4,1,2,2,11,5.5,0,1,10,0.5,2.8,1,5.5,0,0,0,0,0,0,0,0,2,5.5,11,0,0
Sterling Shepard,NYG,26,WR,8,8,67,46,461,10,2,24,36,5.8,57.6,0.69,6.9,6,72,0,3,23,12,9,0.8,52,10.3,533,2,0
