Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
Justin Hardy,ATL,28,wr,14,1,22,16,155,9.7,0,7,23,1.1,11.1,0.73,7,0,0,0,0,0,0,0,0,16,9.7,155,0,0
Keith Smith,ATL,27,RB,14,5,2,0,0,0,0,0,0,0,0,0,0,4,9,0,4,3,2.3,0.6,0.3,4,2.3,9,0,0
Kenjon Barner,ATL,29,RB,12,0,8,6,22,3.7,0,1,13,0.5,1.8,0.75,2.8,4,28,0,1,12,7,2.3,0.3,10,5,50,0,3
Luke Stocker,ATL,31,TE,13,8,12,7,43,6.1,0,1,18,0.5,3.3,0.58,3.6,0,0,0,0,0,0,0,0,7,6.1,43,0,1
Olamide Zaccheaus,ATL,22,WR,8,0,3,1,93,93,1,1,93,0.1,11.6,0.33,31,0,0,0,0,0,0,0,0,1,93,93,1,0
Qadree Ollison,ATL,23,RB,6,0,2,1,7,7,0,1,7,0.2,1.2,0.5,3.5,17,38,3,4,6,2.2,6.3,2.8,18,2.5,45,3,1
Russell Gage,ATL,23,wr,14,2,55,37,329,8.9,1,17,19,2.6,23.5,0.67,6,2,5,0,0,6,2.5,0.4,0.1,39,8.6,334,1,1
Chris Moore,BAL,26,wr,12,1,5,3,21,7,0,0,13,0.3,1.8,0.6,4.2,0,0,0,0,0,0,0,0,3,7,21,0,0
Gus Edwards,BAL,24,RB,14,0,5,5,36,7.2,0,1,10,0.4,2.6,1,7.2,100,515,2,34,63,5.2,36.8,7.1,105,5.2,551,2,0
Hayden Hurst,BAL,26,te,14,4,34,27,305,11.3,2,14,61,1.9,21.8,0.79,9,0,0,0,0,0,0,0,0,27,11.3,305,2,0
Justice Hill,BAL,22,RB,14,0,9,4,28,7,0,1,10,0.3,2,0.44,3.1,45,167,0,7,13,3.7,11.9,3.2,49,4,195,0,0
Mark Andrews,BAL,23,te,14,4,89,58,759,13.1,8,40,51,4.1,54.2,0.65,8.5,0,0,0,0,0,0,0,0,58,13.1,759,8,2
Mark Ingram,BAL,30,RB,14,14,27,24,211,8.8,4,14,25,1.7,15.1,0.89,7.8,194,963,10,50,53,5,68.8,13.9,218,5.4,1174,14,2
Marquise Brown,BAL,22,WR,12,9,67,43,563,13.1,7,24,83,3.6,46.9,0.64,8.4,0,0,0,0,0,0,0,0,43,13.1,563,7,0
Miles Boykin,BAL,23,WR,14,10,19,12,190,15.8,3,10,50,0.9,13.6,0.63,10,0,0,0,0,0,0,0,0,12,15.8,190,3,0
Nick Boyle,BAL,26,TE,14,13,37,27,291,10.8,2,12,35,1.9,20.8,0.73,7.9,0,0,0,0,0,0,0,0,27,10.8,291,2,0
