Tyreek Hill\HillTy00,0.45,3.73,8.20,0.09,18.36,11.55,180.45,15.63,1.18,0.09
Tyrell Williams\WillTy00,0.27,2.36,8.67,0.00,16.45,9.82,131.18,13.36,0.82,0.00
Vance McDonald\McDoVa00,0.18,2.55,14.00,0.00,5.91,3.73,46.55,12.49,0.55,0.00
Virgil Green\GreeVi00,0.00,0.00,0.00,0.00,7.45,5.36,53.64,10.00,0.27,0.00
Vyncint Smith\SmitVy00,1.55,6.73,4.35,0.00,15.45,10.09,160.82,15.94,0.82,0.09
Wayne Gallman\GallWa00,22.82,114.09,5.00,1.18,7.45,5.64,41.18,7.31,0.09,0.09
Will Fuller\FullWi01,0.18,5.55,30.50,0.09,20.91,10.09,110.64,10.96,0.09,0.18
Willie Snead\SneaWi00,1.18,8.45,7.15,0.09,18.73,10.55,119.36,11.32,0.82,0.36
Zach Ertz\ErtzZa00,0.00,0.00,0.00,0.00,6.82,4.73,56.27,11.90,0.27,0.00
Zach Pascal\PascZa00,0.82,3.64,4.44,0.00,20.64,13.18,172.09,13.06,0.82,0.09
