Christian McCaffrey,246.99752787536806,408.7
Ezekiel Elliott,270.0441137856454,305.2
Nick Chubb,178.0888299128427,256.7
Derrick Henry,147.00035638862536,311.1
Michael Thomas,188.3949372491811,269.1
Leonard Fournette,200.18771869867624,222.4
Dalvin Cook,184.29529803445635,278.4
Aaron Jones,161.2048731286412,300.3
Austin Ekeler,148.51074180881608,252.0
Chris Carson,188.10723542324874,232.1
Saquon Barkley,280.60449006276934,219.6
Joe Mixon,206.11763679255523,225.4
Julio Jones,217.5827976533799,211.6
Chris Godwin,121.75354456333159,219.6
Alvin Kamara,241.3362009005294,191.0
Mark Ingram,152.19581365373816,247.0
Le'Veon Bell,274.1463645148133,175.0
Robert Woods,150.61955122394738,172.4
Travis Kelce,163.4932711793068,190.3
Keenan Allen,151.19604385229292,189.5
D.J. Moore,153.78061137529372,174.5
Phillip Lindsay,191.46973061513637,186.2
DeVante Parker,85.87104682689028,203.2
Amari Cooper,152.67230391557607,194.5
Stefon Diggs,159.40209912212075,169.1
Kenny Golladay,155.20783710862895,209.0
Jarvis Landry,138.22071034637582,182.4
DeAndre Hopkins,198.65247512466925,195.3
Marlon Mack,173.1533148962856,199.8
Cooper Kupp,157.07315096986446,196.0
Kenyan Drake,143.02696472503976,191.7
Mike Evans,195.69850463218924,190.7
Darren Waller,47.8237877616417,157.5
Allen Robinson,138.60275118371842,188.4
Julian Edelman,144.5193412443283,172.4
Courtland Sutton,109.89862174737864,170.4
Carlos Hyde,116.94931200654847,167.7
Michael Gallup,88.0203750771941,171.7
George Kittle,171.06749010143344,162.5
Tyler Boyd,155.80031689076662,158.9
John Brown,107.55282993972915,169.2
Devonta Freeman,140.35129822822847,160.6
Todd Gurley,261.8625891056833,213.9
Tyler Lockett,146.1084010314637,177.7
Odell Beckham,201.17746989033026,149.0
Adrian Peterson,157.60107619115712,152.0
Ronald Jones,46.42017458420855,156.3
DJ Chark,57.15834099428031,172.3
Sony Michel,162.49518457574968,169.6
Mike Williams,95.26962630660495,132.8
Davante Adams,173.4394897927835,152.7
Raheem Mostert,54.408257688493876,169.7
Zach Ertz,143.0866216530841,150.6
Melvin Gordon,209.4642474543879,161.8
James White,140.21709775044172,147.8
Calvin Ridley,129.1875156867502,156.5
Tyreek Hill,219.10199438357432,150.3
Latavius Murray,123.69432780965333,146.7
Emmanuel Sanders,138.69633957855956,137.4
Mark Andrews,92.57353453985954,163.2
Randall Cobb,122.39254578171634,118.4
Jamison Crowder,111.11938503063097,140.2
Duke Johnson,112.56290916001387,127.5
Larry Fitzgerald,112.6296005585398,122.4
Christian Kirk,135.82027454547125,115.7
Austin Hooper,95.73523382009637,135.2
Robby Anderson,131.9208228118514,123.8
Marvin Jones,134.00677901474026,152.4
Cole Beasley,87.81449384642576,132.3
Chris Conley,61.22557283135352,125.5
Curtis Samuel,114.31771428206754,139.2
Gus Edwards,148.69794119012676,107.6
Royce Freeman,106.63524151087216,115.2
Matt Breida,157.357316727124,96.8
James Washington,56.29387225748504,105.0
Tyler Higbee,51.643362542953604,109.4
Tevin Coleman,149.0714644548696,131.9
James Conner,202.30551128191746,131.5
David Johnson,185.639360847115,124.0
Jamaal Williams,109.54093448305443,126.8
Damien Williams,75.92836149539559,127.1
Jared Cook,103.55212172588587,140.5
Frank Gore,138.9864128975281,99.4
Golden Tate,117.3988202670636,118.7
Dede Westbrook,117.8902288486442,100.2
Sammy Watkins,126.58206727183499,98.0
DeAndre Washington,56.05025986157317,102.4
Danny Amendola,84.2071909302425,91.8
Will Fuller,146.9972297826605,96.0
Tarik Cohen,165.89175516348678,95.4
Breshad Perriman,76.93955689476753,117.1
Anthony Miller,83.28554783724708,92.5
Hunter Henry,88.02891214392707,111.2
Tyrell Williams,102.227128846145,117.6
Sterling Shepard,134.50324630462444,98.8
LeSean McCoy,154.41070406941463,103.6
Brandin Cooks,176.02916798930352,93.0
Zach Pascal,58.966251672906466,107.3
Dallas Goedert,64.52434597825109,103.2
Corey Davis,131.13834557860895,86.6
Greg Olsen,78.31187449162341,88.7
Jordan Howard,168.80270043408547,116.9
Peyton Barber,130.24826851657207,112.0
Rex Burkhead,81.07242314153775,88.1
Auden Tate,38.785860784294904,76.0
Mike Gesicki,48.484035799485426,97.5
Kenny Stills,96.36412028364128,93.6
JuJu Smith-Schuster,195.04103148985592,82.7
Mohamed Sanu,110.0021253859993,80.6
Kerryon Johnson,201.2677760319957,89.5
Jason Witten,83.65667866244173,88.4
Nyheim Hines,117.53711837889878,77.4
Jonnu Smith,57.699325543929625,78.7
Chris Thompson,109.26901899005799,61.1
John Ross,58.27117809937798,78.0
T.Y. Hilton,183.50447503844543,92.1
Allen Lazard,36.33806865165976,80.3
Alshon Jeffery,150.4473171859051,97.7
Jaylen Samuels,92.22594336926005,72.0
Evan Engram,133.30813815445876,76.9
Jalen Richard,138.72434694387138,55.3
Kareem Hunt,239.02941612268626,74.9
Marquez Valdes-Scantling,103.71210088142806,65.1
O.J. Howard,120.62374060460706,61.4
Russell Gage,33.59590519568384,62.3
Rashaad Penny,98.89134960963841,76.8
Demarcus Robinson,50.365253871052275,78.4
Boston Scott,28.61220712288103,80.4
Jack Doyle,78.64293702580915,81.3
Jimmy Graham,97.02758865328853,72.2
Ted Ginn,92.3778168931994,66.9
J.D. McKissic,50.02721080765282,57.3
Tyler Eifert,98.20298375455923,73.6
Demaryius Thomas,118.67461243751563,60.3
Adam Thielen,163.76388450519198,93.9
Jordan Akins,44.568320308349186,64.3
Phillip Dorsett,61.929564921947566,80.8
