Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Julio Jones,253.4,96.45263157894736,0.45263157894736844,0.08421052631578947,6.157894736842105,9.736842105263158,0.15789473684210525,25.0,1.1473684210526316,95.30526315789474,15.657142857142857,0.45263157894736844,4.389473684210526,63.228571428571435,0.0,0.10526315789473684,8.571428571428571,74.0,5.328571428571428,6.315789473684211,15.385714285714284,91.1875,0.1875,0.0,5.5,9.25,0.0625,28,0.9375,90.25,16.4,0.1875,4.1875,59.5,0.0,0.0625,15.0,53.0,15.0,5.5625,16.4
Julio Jones,197.9,97.51898734177215,0.5063291139240507,0.10126582278481013,6.291139240506329,9.835443037974683,0.17721518987341772,24.5,1.1898734177215189,96.32911392405063,15.533333333333333,0.5063291139240507,4.430379746835443,63.85,0.0,0.11392405063291139,7.5,77.5,3.716666666666667,6.468354430379747,15.216666666666667,100.64285714285714,0.42857142857142855,0.0,5.928571428571429,9.214285714285714,0.0,27,0.0,100.64285714285714,17.0,0.42857142857142855,4.571428571428571,64.3,0.0,0.0,0,75.0,0,5.928571428571429,17.0
Julio Jones,208.9,96.84615384615384,0.5230769230769231,0.12307692307692308,6.369230769230769,9.96923076923077,0.2153846153846154,24.0,1.4461538461538461,95.4,15.24,0.5230769230769231,4.4,63.760000000000005,0.0,0.13846153846153847,9.0,78.0,4.46,6.584615384615384,14.86,116.9375,0.5,0.1875,8.5,12.6875,0.0,26,0.0,116.9375,13.8,0.5,5.8125,67.0,0.0,0.0,0,70.0,0,8.5,13.8
Julio Jones,275.6,90.28571428571429,0.5306122448979592,0.10204081632653061,5.673469387755102,9.081632653061224,0.2857142857142857,23.5,1.9183673469387754,88.36734693877551,15.600000000000001,0.5306122448979592,3.938775510204082,62.95,0.0,0.1836734693877551,11.25,80.0,5.575,5.959183673469388,15.125,106.26666666666667,0.4,0.13333333333333333,6.933333333333334,10.866666666666667,0.06666666666666667,25,0.06666666666666667,106.2,15.3,0.4,5.066666666666666,63.8,0.0,0.06666666666666667,1.0,79.0,1.0,7.0,15.2
Julio Jones,229.9,83.23529411764706,0.5882352941176471,0.08823529411764706,5.117647058823529,8.294117647058824,0.38235294117647056,23.0,2.735294117647059,80.5,15.700000000000001,0.5882352941176471,3.4411764705882355,62.666666666666664,0.0,0.23529411764705882,14.666666666666666,80.33333333333333,7.1000000000000005,5.5,15.1,117.4,0.4,0.4,8.2,11.8,0.2,24,1.4,116.0,14.1,0.4,5.0,69.5,0.0,0.2,7.0,81.0,7.0,8.4,14.0
Julio Jones,79.7,77.34482758620689,0.6206896551724138,0.034482758620689655,4.586206896551724,7.689655172413793,0.41379310344827586,22.5,2.9655172413793105,74.37931034482759,16.5,0.6206896551724138,3.1724137931034484,59.25,0.0,0.2413793103448276,18.5,80.0,7.15,5.0,15.649999999999999,76.75,0.625,0.0,4.9375,8.0,0.375,23,1.875,74.875,15.2,0.625,3.5,61.7,0.0,0.1875,18.0,80.0,5.0,5.3125,14.4
Julio Jones,212.3,78.07692307692308,0.6153846153846154,0.07692307692307693,4.153846153846154,7.3076923076923075,0.46153846153846156,22.0,4.3076923076923075,73.76923076923077,17.8,0.6153846153846154,2.769230769230769,56.8,0.0,0.3076923076923077,19.0,80.0,9.3,4.615384615384615,16.9,78.07692307692308,0.6153846153846154,0.07692307692307693,4.153846153846154,7.3076923076923075,0.46153846153846156,22,4.3076923076923075,73.76923076923077,17.8,0.6153846153846154,2.769230769230769,56.8,0.0,0.3076923076923077,19.0,80.0,9.3,4.615384615384615,16.9
Chris Godwin,142.2,32.8125,0.0625,0.0,2.125,3.4375,0.0,21.0,0.0,32.8125,15.4,0.0625,1.6875,61.8,0.0,0.0,0.0,70.0,0.0,2.125,15.4,32.8125,0.0625,0.0,2.125,3.4375,0.0,21,0.0,32.8125,15.4,0.0625,1.6875,61.8,0.0,0.0,0,70.0,0,2.125,15.4
Alvin Kamara,318.2,97.125,0.8125,0.0625,5.0625,6.25,7.5,22.0,45.5,51.625,10.2,0.3125,2.375,81.0,0.5,2.625,74.0,40.0,6.1,12.5625,7.7,97.125,0.8125,0.0625,5.0625,6.25,7.5,22,45.5,51.625,10.2,0.3125,2.375,81.0,0.5,2.625,74.0,40.0,6.1,12.5625,7.7
Mark Ingram,150.5,72.23404255319149,0.5106382978723404,0.1276595744680851,2.202127659574468,2.75531914893617,12.585106382978724,25.0,57.04255319148936,15.191489361702128,6.557142857142857,0.0425531914893617,0.7659574468085106,76.15714285714286,0.46808510638297873,2.9468085106382977,49.714285714285715,28.142857142857142,4.514285714285714,14.787234042553191,4.785714285714285,96.25,0.75,0.1875,3.625,4.4375,14.375,28,70.25,26.0,7.2,0.0,1.1875,81.7,0.75,3.25,72.0,54.0,4.9,18.0,5.3
Mark Ingram,273.0,67.3076923076923,0.46153846153846156,0.11538461538461539,1.9102564102564104,2.41025641025641,12.217948717948717,24.5,54.333333333333336,12.974358974358974,6.449999999999999,0.05128205128205128,0.6794871794871795,75.23333333333333,0.41025641025641024,2.8846153846153846,46.0,23.833333333333332,4.45,14.128205128205128,4.699999999999999,85.125,0.625,0.125,2.875,3.625,12.8125,27,65.1875,19.9375,6.9,0.25,1.125,79.3,0.375,3.125,75.0,22.0,5.1,15.6875,5.4
Mark Ingram,228.2,62.70967741935484,0.41935483870967744,0.11290322580645161,1.6612903225806452,2.096774193548387,12.064516129032258,24.0,51.53225806451613,11.17741935483871,6.359999999999999,0.0,0.5645161290322581,74.41999999999999,0.41935483870967744,2.8225806451612905,40.2,24.2,4.32,13.725806451612904,4.56,97.83333333333333,0.5,0.16666666666666666,4.166666666666667,5.0,13.833333333333334,26,64.08333333333333,33.75,8.1,0.0,1.8333333333333333,83.3,0.5,3.9166666666666665,70.0,59.0,4.6,18.0,5.4
Mark Ingram,202.4,54.28,0.4,0.1,1.06,1.4,11.64,23.5,48.52,5.76,5.925,0.0,0.26,72.19999999999999,0.4,2.56,32.75,15.5,4.25,12.7,4.35,85.3076923076923,0.6923076923076923,0.23076923076923078,2.230769230769231,2.769230769230769,17.384615384615383,25,74.15384615384616,11.153846153846153,5.0,0.0,0.38461538461538464,80.6,0.6923076923076923,4.0,31.0,14.0,4.3,19.615384615384617,4.3
Mark Ingram,191.9,43.37837837837838,0.2972972972972973,0.05405405405405406,0.6486486486486487,0.918918918918919,9.621621621621621,23.0,39.513513513513516,3.864864864864865,6.233333333333333,0.0,0.21621621621621623,69.39999999999999,0.2972972972972973,2.054054054054054,33.333333333333336,16.0,4.233333333333333,10.27027027027027,4.366666666666666,41.27272727272727,0.09090909090909091,0.09090909090909091,0.6363636363636364,1.0,7.090909090909091,24,35.09090909090909,6.181818181818182,9.7,0.0,0.2727272727272727,63.6,0.09090909090909091,1.6363636363636365,34.0,23.0,4.9,7.7272727272727275,5.3
Mark Ingram,69.9,44.26923076923077,0.38461538461538464,0.038461538461538464,0.6538461538461539,0.8846153846153846,10.692307692307692,22.5,41.38461538461539,2.8846153846153846,4.5,0.0,0.19230769230769232,72.3,0.38461538461538464,2.230769230769231,33.0,12.5,3.9,11.346153846153847,3.9,39.4375,0.3125,0.0,0.375,0.625,9.75,23,37.625,1.8125,4.8,0.0,0.125,60.0,0.3125,1.8125,31.0,16.0,3.9,10.125,3.9
Mark Ingram,115.6,52.0,0.5,0.1,1.1,1.3,12.2,22.0,47.4,4.6,4.2,0.0,0.3,84.6,0.5,2.9,35.0,9.0,3.9,13.3,3.9,52.0,0.5,0.1,1.1,1.3,12.2,22,47.4,4.6,4.2,0.0,0.3,84.6,0.5,2.9,35.0,9.0,3.9,13.3,3.9
Le'Veon Bell,311.1,128.72340425531914,0.6595744680851063,0.10638297872340426,4.829787234042553,6.191489361702128,19.319148936170212,22.5,86.06382978723404,42.659574468085104,8.275,0.10638297872340426,1.9574468085106382,79.825,0.5531914893617021,4.787234042553192,52.5,35.75,4.5,24.148936170212767,5.25,157.0,0.75,0.3333333333333333,6.25,7.833333333333333,21.75,24,105.66666666666667,51.333333333333336,8.2,0.16666666666666666,2.6666666666666665,79.8,0.5833333333333334,5.833333333333333,44.0,32.0,4.9,28.0,5.6
