"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"121","undefined","","Bo Scarbrough","DET","RB45","vs. TB","98","159","120.7","6.0","8.3"
"122","undefined","","Royce Freeman","DEN","RB46","at KC","110","152","123.0","4.0","7.9"
"123","undefined","","Kendrick Bourne","SF","WR61","vs. ATL","119","131","123.3","2.8","7.9"
"124","undefined","","Nyheim Hines","IND","RB47","at NO","117","135","124.0","3.8","7.8"
"125","undefined","","Peyton Barber","TB","RB48","at DET","114","133","125.0","2.6","7.7"
"126","undefined","","John Ross","CIN","WR62","vs. NE","118","152","125.0","1.4","7.8"
"127","undefined","","Jason Witten","DAL","TE17","vs. LAR","106","136","125.7","6.5","7.6"
"128","undefined","","David Njoku","CLE","TE18","at ARI","95","136","127.9","4.9","7.5"
"129","undefined","","O.J. Howard","TB","TE19","at DET","97","136","127.9","7.2","7.5"
"130","undefined","","Demaryius Thomas","NYJ","WR63","at BAL","118","152","128.1","8.3","7.8"
"131","undefined","","Tevin Coleman","SF","RB49","vs. ATL","127","142","130.3","2.8","7.6"
"132","undefined","","David Johnson","ARI","RB50","vs. CLE","127","140","135.1","4.2","7.4"
"133","undefined","","Phillip Dorsett","NE","WR64","at CIN","125","163","138.6","10.6","0"
"134","undefined","","Ted Ginn","NO","WR65","vs. IND","128","149","139.9","4.7","7.2"
"135","undefined","","Darren Fells","HOU","TE20","at TEN","121","146","140.3","5.7","7.0"
"136","undefined","","Nelson Agholor","PHI","WR66","at WAS","126","153","141.3","5.9","0"
"137","undefined","","Hayden Hurst","BAL","TE21","vs. NYJ","103","173","142.9","12.3","6.9"
"138","undefined","","Jonnu Smith","TEN","TE22","vs. HOU","120","152","143.3","5.2","6.9"
"139","undefined","","Giovani Bernard","CIN","RB51","vs. NE","137","145","144.0","1.3","7.3"
"140","undefined","","Rex Burkhead","NE","RB52","at CIN","133","154","144.6","7.9","7.1"
"141","undefined","","Jimmy Graham","GB","TE23","vs. CHI","134","151","146.7","3.9","6.5"
"142","undefined","","Isaiah Ford","MIA","WR67","at NYG","110","177","149.1","18.2","0"
"143","undefined","","J.D. McKissic","DET","RB53","vs. TB","118","203","149.4","22.1","6.8"
"144","undefined","","Olabisi Johnson","MIN","WR68","at LAC","138","157","149.6","6.6","0"
"145","undefined","","Jakobi Meyers","NE","WR69","at CIN","139","162","149.6","7.3","0"
"146","undefined","","Gus Edwards","BAL","RB54","vs. NYJ","133","165","152.4","5.9","6.4"
"147","undefined","","Dawson Knox","BUF","TE24","at PIT","136","163","153.7","5.8","6.4"
"148","undefined","","Kelvin Harmon","WAS","WR70","vs. PHI","106","145","132.7","8.3","0"
"149","undefined","","Vance McDonald","PIT","TE25","vs. BUF","143","170","155.1","8.4","6.4"
"150","undefined","","Tim Patrick","DEN","WR71","at KC","147","166","156.4","5.6","0"
"151","undefined","","Malcolm Brown","LAR","RB55","at DAL","133","193","158.4","18.7","6.1"
"152","undefined","","Mecole Hardman","KC","WR72","vs. DEN","148","165","158.7","5.0","0"
"153","undefined","","Irv Smith Jr.","MIN","TE26","at LAC","141","176","159.4","11.1","6.2"
"154","undefined","","Auden Tate","CIN","WR73","vs. NE","118","155","138.5","8.2","0"
"155","undefined","","Keke Coutee","HOU","WR74","at TEN","153","181","164.7","7.5","0"
"156","undefined","","Adam Thielen","MIN","WR75","at LAC","33","158","147.3","8.3","0"
"157","undefined","","Albert Wilson","MIA","WR76","at NYG","135","174","148.5","11.9","0"
"158","undefined","","Keelan Cole","JAC","WR77","at OAK","117","159","153.7","8.6","0"
"159","undefined","","Frank Gore","BUF","RB56","at PIT","155","214","172.7","17.6","5.8"
"160","undefined","","Willie Snead","BAL","WR78","vs. NYJ","146","165","156.3","4.8","0"
"161","undefined","","Demarcus Robinson","KC","WR79","vs. DEN","149","164","158.8","3.5","0"
"162","undefined","","Alshon Jeffery","PHI","WR80","at WAS","109","149","134.4","14.5","0"
"163","undefined","","Zay Jones","OAK","WR81","vs. JAC","155","169","160.5","4.2","0"
"164","undefined","","Kaden Smith","NYG","TE27","vs. MIA","108","186","161.0","18.4","6.0"
"165","undefined","","Tre'Quan Smith","NO","WR82","vs. IND","133","167","161.2","4.3","5.8"
"166","undefined","","Boston Scott","PHI","RB57","at WAS","124","261","179.3","31.8","5.7"
"167","undefined","","Alex Erickson","CIN","WR83","vs. NE","156","168","165.5","3.4","0"
"168","undefined","","Myles Gaskin","MIA","RB58","at NYG","148","192","167.3","14.1","5.6"
"169","undefined","","J.J. Arcega-Whiteside","PHI","WR84","at WAS","142","180","167.8","5.8","0"
"170","undefined","","Geronimo Allison","GB","WR85","vs. CHI","157","183","171.5","5.3","0"
"171","undefined","","Jarius Wright","CAR","WR86","vs. SEA","170","182","172.7","4.2","0"
"172","undefined","","Tyler Eifert","CIN","TE28","vs. NE","160","176","173.0","3.5","5.6"
"173","undefined","","Dare Ogunbowale","TB","RB59","at DET","161","181","176.0","4.7","5.4"
"174","undefined","","Benjamin Watson","NE","TE29","at CIN","142","197","176.2","10.4","5.3"
"175","undefined","","Kalif Raymond","TEN","WR87","vs. HOU","172","189","176.5","6.0","0"
"176","undefined","","Dion Lewis","TEN","RB60","vs. HOU","151","186","176.8","8.2","5.2"
"177","undefined","","Marquez Valdes-Scantling","GB","WR88","vs. CHI","164","210","177.7","14.7","0"
"178","undefined","","Isaiah McKenzie","BUF","WR89","at PIT","171","206","181.2","12.4","0"
"179","undefined","","Josh Reynolds","LAR","WR90","at DAL","169","196","182.2","9.4","0"
"180","undefined","","Brian Hill","ATL","RB61","at SF","165","192","183.2","8.5","4.8"
"181","undefined","","Ty Montgomery","NYJ","RB62","at BAL","138","202","183.3","17.0","4.8"
"182","undefined","","Jordan Akins","HOU","TE30","at TEN","173","197","183.7","7.0","5.0"
"183","undefined","","Cameron Brate","TB","TE31","at DET","143","190","184.7","4.1","5.0"
"184","undefined","","Nick O'Leary","JAC","TE32","at OAK","178","188","185.7","2.4","5.0"
"185","undefined","","Pharoh Cooper","ARI","WR91","vs. CLE","178","200","185.8","9.0","0"
"186","undefined","","Josh Gordon","SEA","WR92","at CAR","156","174","168.4","3.2","0"
"187","undefined","","Ryan Griffin","NYJ","TE33","at BAL","131","194","172.2","19.8","5.7"
"188","undefined","","Laquon Treadwell","MIN","WR93","at LAC","179","220","196.5","12.4","0"
"189","undefined","","N'Keal Harry","NE","WR94","at CIN","169","182","179.6","1.4","0"
"190","undefined","","David Moore","SEA","WR95","at CAR","187","215","199.5","8.7","0"
"191","undefined","","Greg Ward","PHI","WR96","at WAS","170","214","200.8","6.5","0"
"192","undefined","","Chase Edmonds","ARI","RB63","vs. CLE","174","218","201.7","11.6","4.7"
"193","undefined","","Cody Latimer","NYG","WR97","vs. MIA","199","211","204.5","3.6","0"
"194","undefined","","Blake Jarwin","DAL","TE34","vs. LAR","150","192","189.0","1.9","5.2"
"195","undefined","","Andy Isabella","ARI","WR98","vs. CLE","177","194","189.6","2.3","0"
"196","undefined","","Rashard Higgins","CLE","WR99","at ARI","189","235","206.3","14.0","0"
"197","undefined","","Steven Sims","WAS","WR100","vs. PHI","172","191","190.6","0.5","0"
"198","undefined","","Seth Roberts","BAL","WR101","vs. NYJ","184","199","193.0","4.4","0"
"199","undefined","","Christian Blake","ATL","WR102","at SF","193","226","208.8","10.0","0"
"200","undefined","","Logan Thomas","DET","TE35","vs. TB","167","198","193.8","2.9","4.8"
"201","undefined","","Ty Johnson","DET","RB64","vs. TB","126","196","194.8","1.5","5.1"
"202","undefined","","Jay Ajayi","PHI","RB65","at WAS","180","260","212.5","24.5","4.0"
"203","undefined","","Bilal Powell","NYJ","RB66","at BAL","133","220","198.6","33.1","3.4"
"204","undefined","","Javon Wims","CHI","WR103","at GB","196","205","199.6","3.0","0"
"205","undefined","","DaeSean Hamilton","DEN","WR104","at KC","191","202","200.0","1.8","0"
"206","undefined","","Miles Boykin","BAL","WR105","vs. NYJ","192","204","202.4","1.4","0"
"207","undefined","","Jonathan Williams","IND","RB67","at NO","195","246","217.7","15.0","3.4"
