Brian Hill,12.2,24,9,2,14,10,69,6.9,1,12,1.1,7.7,71.40%,4.9,65,220,2,27,3.4,24.4,7.2,75,3.9,289,3,0,22.62,120.85,5.34,1.62,5.38,4.00,25.38,6.35,0.23,0.08
Austin Hooper,5.2,25,10,8,73,58,640,11,6,35,5.8,64,79.50%,8.8,0,0,0,0,0,0,0,58,11,640,6,0,0.00,0.00,0.00,0.00,5.08,3.38,45.15,13.34,0.23,0.00
Luke Stocker,0,31,12,7,11,6,34,5.7,0,18,0.5,2.8,54.50%,3.1,0,0,0,0,0,0,0,6,5.7,34,0,1,0.00,0.00,0.00,0.00,5.08,3.38,45.15,13.34,0.23,0.00
Julio Jones,11.6,30,12,12,109,69,1016,14.7,4,54,5.8,84.7,63.30%,9.3,2,-3,0,1,-1.5,-0.3,0.2,71,14.3,1013,4,1,0.46,3.92,8.50,0.08,23.23,15.08,185.23,12.29,0.77,0.08
Calvin Ridley,18.6,25,13,10,93,63,866,13.7,7,36,4.8,66.6,67.70%,9.3,2,34,0,19,17,2.6,0.2,65,13.8,900,7,0,0.46,3.92,8.50,0.08,23.23,15.08,185.23,12.29,0.77,0.08
Russell Gage,3.7,23,13,2,49,32,302,9.4,1,19,2.5,23.2,65.30%,6.2,1,-1,0,-1,-1,-0.1,0.1,33,9.1,301,1,1,0.46,3.92,8.50,0.08,23.23,15.08,185.23,12.29,0.77,0.08
Justin Hardy,2.9,28,13,1,22,16,155,9.7,0,23,1.2,11.9,72.70%,7,0,0,0,0,0,0,0,16,9.7,155,0,0,0.46,3.92,8.50,0.08,23.23,15.08,185.23,12.29,0.77,0.08
Christian Blake,0,23,6,1,21,11,91,8.3,0,13,1.8,15.2,52.40%,4.3,0,0,0,0,0,0,0,11,8.3,91,0,0,0.46,3.92,8.50,0.08,23.23,15.08,185.23,12.29,0.77,0.08
Jaeden Graham,0,24,13,0,10,9,149,16.6,1,53,0.7,11.5,90.00%,14.9,0,0,0,0,0,0,0,9,16.6,149,1,0,0.00,0.00,0.00,0.00,5.08,3.38,45.15,13.34,0.23,0.00
Kenjon Barner,0,29,11,0,6,5,18,3.6,0,13,0.5,1.6,83.30%,3,4,28,0,12,7,2.5,0.4,9,5.1,46,0,2,22.62,120.85,5.34,1.62,5.38,4.00,25.38,6.35,0.23,0.08
